zip	state	mean_income	median_income	population
03084	NH	72806	85920	1270
03086	NH	68090	97907	3775
03087	NH	114204	134056	10705
03101	NH	28275	44234	2754
03102	NH	50355	60184	30331
03103	NH	51018	59129	36749
03104	NH	61017	74121	31954
03106	NH	53663	67135	7285
03109	NH	67513	73274	9484
03110	NH	117684	146355	18257
03215	NH	49073	61071	256
03216	NH	64522	73462	1985
03217	NH	44153	63301	1924
03218	NH	65727	70499	918
03220	NH	56585	60860	6777
03221	NH	67314	79913	1796
03222	NH	47954	57441	5020
03223	NH	44546	58613	2831
03224	NH	78500	85675	1947
03225	NH	65804	70742	2991
03226	NH	1341	1856	30
03227	NH	51866	69455	963
03229	NH	86083	112531	5387
03230	NH	62943	70846	1138
03231	NH	64522	73462	117
03233	NH	66146	93832	154
03234	NH	71686	76545	4026
03235	NH	49138	54173	8470
03237	NH	64219	78346	1878
03238	NH	44050	54023	61
03240	NH	54297	60586	1138
03241	NH	70144	97030	679
03242	NH	73472	79535	4444
03243	NH	62943	70846	991
03244	NH	57426	65981	6950
03245	NH	44153	63301	1937
03246	NH	45867	60388	16437
03249	NH	60450	85894	6763
03251	NH	49073	61071	1269
03253	NH	58931	74305	5890
03254	NH	74162	102346	4478
03255	NH	67396	80093	1738
03256	NH	585	695	16
03257	NH	66175	93511	4053
03258	NH	74808	84333	2221
03259	NH	51866	69455	290
03260	NH	67396	80093	628
03261	NH	64816	77245	3674
03262	NH	44050	54023	1023
03263	NH	57987	64562	3952
03264	NH	43783	55678	6223
03266	NH	51840	69530	2072
03268	NH	64522	73462	1031
03269	NH	61702	74989	2586
03273	NH	67396	80093	347
03275	NH	58388	69108	11732
03276	NH	55931	60462	7952
03278	NH	63262	71038	2897
03279	NH	44050	54023	807
03280	NH	52648	63213	895
03281	NH	78480	88983	7775
03282	NH	59259	66151	791
03284	NH	81000	87997	736
03285	NH	49073	61071	1823
03287	NH	62943	70846	1076
03290	NH	98477	105299	3590
03291	NH	98542	105353	51
03293	NH	44050	54023	114
03301	NH	52876	72338	31800
03303	NH	57450	64970	14137
03304	NH	103270	119136	7136
03307	NH	74570	93317	4497
03431	NH	49288	64159	24237
03440	NH	61481	66225	2487
03441	NH	36932	48336	312
03442	NH	67351	77729	1409
03443	NH	79400	100196	695
03444	NH	60369	74292	1473
03445	NH	60369	74292	755
03446	NH	52053	62433	5949
03447	NH	67839	76203	2151
03448	NH	55170	68978	802
03449	NH	64231	93445	1738
03450	NH	60369	74292	1065
03451	NH	44533	50539	4118
03452	NH	56637	71304	5477
03455	NH	55913	65606	2036
03456	NH	55170	68978	749
03457	NH	60369	74292	698
03458	NH	70275	86328	6274
03461	NH	68250	78731	5444
03462	NH	79400	100196	1607
03464	NH	60369	74292	876
03465	NH	55910	65536	1969
03466	NH	79400	100196	1259
03467	NH	79400	100196	1722
03470	NH	43642	54386	4840
03561	NH	44787	53312	5864
03570	NH	39342	45740	10270
03574	NH	58082	67369	2201
03575	NH	60741	70341	59
03576	NH	36884	47521	3475
03579	NH	41891	44965	372
03580	NH	56505	66182	1193
03581	NH	43217	61600	3271
03582	NH	35740	41166	2715
03583	NH	60741	70341	1005
03584	NH	46889	64494	3512
03585	NH	50406	61591	2414
03586	NH	58082	67369	535
03588	NH	52026	55843	1640
03590	NH	35828	42695	1236
03592	NH	38616	46857	1146
03593	NH	60741	70341	338
03595	NH	60741	70341	600
03597	NH	38550	46726	389
03598	NH	48061	53959	2966
03601	NH	58667	63858	398
03602	NH	56041	67702	2584
03603	NH	49290	54965	5027
03604	NH	58112	62174	29
03605	NH	52648	63213	971
03607	NH	58667	63858	316
03608	NH	58112	62174	2887
03609	NH	58112	62174	672
03740	NH	50092	61154	760
03741	NH	60392	64937	3590
03743	NH	42247	51372	13840
03745	NH	77619	93315	1468
03746	NH	77619	93315	194
03748	NH	61496	70303	4747
03750	NH	110729	170957	951
03751	NH	64611	77239	308
03752	NH	52648	63213	746
03753	NH	81000	87997	2169
03754	NH	45794	50574	19
03755	NH	81607	118009	9900
03765	NH	41575	49288	448
03766	NH	59682	73873	8867
03768	NH	70144	97030	1679
03770	NH	77619	93315	347
03771	NH	50406	61591	738
03773	NH	49852	54854	7502
03774	NH	41575	49288	1936
03777	NH	59259	66151	1089
03779	NH	59259	66151	710
03780	NH	41614	49362	449
03781	NH	77619	93315	1892
03782	NH	59775	74054	2823
03784	NH	56652	73403	3742
03785	NH	42817	51208	2070
03801	NH	63815	80794	21560
03809	NH	57560	71765	2928
03810	NH	57569	71774	1572
03811	NH	87514	105490	6267
03812	NH	46357	66711	897
03813	NH	46708	59878	2530
03814	NH	44967	50007	2265
03816	NH	52679	71728	1159
03817	NH	51866	69455	462
03818	NH	49733	63387	3309
03819	NH	78083	85681	4017
03820	NH	59989	73476	26940
03823	NH	72209	93556	1432
03824	NH	60676	89886	12659
03825	NH	74102	78995	7375
03826	NH	82711	96581	2439
03827	NH	87103	110233	2579
03830	NH	46406	54838	1258
03832	NH	55531	71353	381
03833	NH	74806	91971	19202
03835	NH	47975	59713	5778
03836	NH	45728	56866	1286
03837	NH	64219	78346	1173
03838	NH	46357	66711	922
03839	NH	55733	64831	3490
03840	NH	75526	109858	3220
03841	NH	83959	99306	6086
03842	NH	72310	83441	14818
03844	NH	112417	148972	1879
03845	NH	45924	65853	1000
03846	NH	46357	66711	818
03847	NH	40661	55428	302
03848	NH	69792	78509	5863
03849	NH	55543	71375	1295
03850	NH	52679	71728	369
03851	NH	58382	64122	3378
03852	NH	58382	64122	534
03853	NH	52679	71728	581
03854	NH	67292	109947	1010
03855	NH	60625	70704	2216
03856	NH	79824	91594	1557
03857	NH	70588	85299	8048
03858	NH	87257	83256	4288
03860	NH	40861	55726	3450
03861	NH	72209	93556	4153
03862	NH	75081	114862	4254
03864	NH	44967	50007	1628
03865	NH	76471	88998	7731
03867	NH	51183	63716	20308
03868	NH	53629	60462	4778
03869	NH	66161	83345	2582
03870	NH	85268	117242	5062
03871	NH	85268	117242	119
03872	NH	46406	54838	3200
03873	NH	84362	98243	4942
03874	NH	52645	64487	8047
03875	NH	55214	71203	625
03878	NH	52254	61720	11539
03882	NH	45728	56866	1273
03883	NH	51866	69455	179
03884	NH	72303	91267	3585
03885	NH	106572	122575	6336
03886	NH	51872	69458	1854
03887	NH	57598	67326	1827
03890	NH	44967	50007	303
03894	NH	55652	72825	6116
03901	ME	61513	67714	6373
03902	ME	72016	86286	2083
03903	ME	66854	89730	5952
03904	ME	52799	63631	7636
03905	ME	54048	64496	1902
03906	ME	57711	64639	4331
03907	ME	57542	71288	1223
03908	ME	75007	80578	6684
03909	ME	61753	77941	10093
03910	ME	57101	74158	338
03911	ME	57101	74158	341
04001	ME	51227	62454	2138
04002	ME	62908	67672	6280
04003	ME	66055	75809	477
04005	ME	49409	57937	22620
04006	ME	61583	78343	124
04008	ME	63192	68092	2498
04009	ME	42420	50711	4815
04010	ME	42439	55342	1248
04011	ME	51062	65065	21168
04015	ME	51656	54366	3501
04017	ME	85168	120334	355
04019	ME	58429	99366	87
04020	ME	48269	52426	1269
04021	ME	85168	120334	5589
04022	ME	42439	55342	1003
04024	ME	52059	58563	529
04027	ME	56227	59965	5085
04029	ME	52059	58563	1433
04030	ME	60288	64959	1836
04032	ME	60895	82043	7797
04037	ME	37578	47999	3373
04038	ME	70795	82719	14169
04039	ME	67751	75773	6428
04040	ME	42035	59390	2629
04041	ME	40694	53327	1415
04042	ME	57536	62297	4117
04043	ME	73978	90301	10482
04046	ME	60745	77919	7282
04047	ME	48269	52426	1580
04048	ME	50684	54533	2288
04049	ME	56924	62757	3355
04050	ME	58429	99366	200
04051	ME	45086	59891	983
04055	ME	52824	63915	3200
04056	ME	51227	62454	209
04057	ME	42420	50711	63
04061	ME	60288	64959	2665
04062	ME	57302	68309	14901
04063	ME	31529	42364	399
04064	ME	40589	52077	8455
04066	ME	66055	75809	691
04068	ME	40694	53327	1442
04069	ME	65117	70252	1435
04071	ME	63873	74801	4729
04072	ME	42759	46958	12787
04073	ME	43224	51777	16015
04074	ME	77285	95129	16813
04076	ME	51227	62454	2322
04079	ME	63939	74123	4065
04083	ME	44589	51145	4713
04084	ME	70905	73031	7754
04085	ME	55429	57086	1530
04086	ME	63864	75742	9097
04087	ME	60288	64959	1710
04088	ME	45086	59891	1417
04090	ME	63243	72031	9397
04091	ME	52059	58563	759
04092	ME	46303	60730	16124
04093	ME	55999	67329	7451
04095	ME	51217	62419	1129
04096	ME	77652	109954	8357
04097	ME	70858	101181	3268
04101	ME	28472	42273	17296
04102	ME	50475	62791	16875
04103	ME	55954	65488	29092
04105	ME	88841	121369	10276
04106	ME	51529	64212	23437
04107	ME	81192	123633	9083
04108	ME	58429	99366	843
04109	ME	58429	99366	82
04110	ME	85168	120334	1210
04210	ME	42117	55830	23191
04217	ME	38631	49975	2854
04219	ME	43994	52567	1469
04220	ME	45756	55195	2584
